timestamp,tbs_sum
1589650272.994629,288
1589650278.6154137,5784
1589650281.891066,2280
1589650282.169584,768
1589650283.7045295,384
1589650284.7805662,2104
1589650285.2347014,19784
1589650286.553248,1504
1589650287.6812234,65064
1589650288.370931,4144
1589650289.7237854,264
1589650290.5096407,1447584
1589650291.2941282,728032
1589650294.924665,21512
1589650295.045313,5904
1589650296.9153197,936
1589650297.005774,24656
1589650300.2247474,396304
1589650301.624717,7064
1589650302.8440075,13104
1589650303.6138065,171688
1589650304.66205,1167024
1589650305.7461712,154536
1589650306.6770792,35704
1589650308.5962255,708480
1589650309.3322382,504272
1589650310.1312697,38344
1589650313.8093925,83200
1589650314.714774,563320
1589650315.0941896,11968
1589650321.5703907,60512
1589650322.304998,45688
1589650323.662053,134880
1589650324.1990106,43256
1589650325.5998192,1448
1589650327.2948527,37584
1589650328.4885302,79680
1589650329.328364,157520
1589650330.734729,28512
1589650331.5943863,52752
1589650332.4927697,98384
1589650333.463443,131200
1589650334.486847,298336
1589650335.4331398,136944
1589650336.4202294,74224
1589650337.6876383,579032
1589650338.35015,51200
1589650339.5393147,147608
1589650340.3557496,119280
1589650341.3547387,129944
1589650342.6321504,144936
1589650343.5195675,86808
1589650344.762492,181376
1589650345.3210838,435576
1589650346.520309,92744
1589650347.5682878,168312
1589650348.5392122,288472
1589650349.561278,241104
1589650350.6425142,36728
1589650351.7936354,114880
1589650352.549166,219008
1589650353.5268035,661808
1589650354.4017048,163104
1589650355.339702,9726768
1589650356.2351706,717768
1589650357.331753,1603208
1589650358.4807637,423000
1589650359.4513533,318848
1589650360.4152544,306176
1589650361.5817685,646064
1589650362.4955547,527416
1589650363.3818362,1267096
1589650364.7031343,863840
1589650365.3535385,963752
1589650366.265833,373760
1589650367.3164809,1133192
1589650368.5900707,1217168
1589650369.4448452,542376
1589650370.116435,4656
1589650375.9560187,37672
1589650376.4885254,4163552
1589650377.5871315,158160
1589650378.462787,74024
1589650379.610365,795368
1589650380.7452874,1396112
1589650381.547112,1114656
1589650382.3186626,363528
1589650384.7331412,300272
1589650385.0984955,54680
1589650394.6336408,88104
1589650395.7828436,431904
1589650396.6544363,1062096
1589650397.4552658,1717944
1589650399.432075,35160
1589650437.9661665,7576
1589650437.99171,39808
1589650472.3704484,125392
1589650474.9198203,140896
1589650475.33428,710536
1589650481.440177,19688
1589650483.55045,106968
1589650484.60698,1467088
1589650529.8195546,71272
1589650531.5813956,92816
1589650532.1124003,3744
1589650533.620999,369352
1589650534.3120756,277088
1589650676.6333988,40656
1589650721.785319,28392
1589650722.548823,699680
1589650723.5789928,102864
1589650724.6169682,866768
1589650725.4784155,2897984
1589650726.3445992,1876416
1589650727.341909,930728
1589650728.446864,323080
1589650729.46325,118856
1589650730.4738204,174872
1589650731.456307,86176
1589650732.4286604,814920
1589650733.341799,163848
1589650734.416748,214128
1589650735.1727276,91480
1589650736.705619,673256
1589650737.3342893,3413600
1589650738.413203,679128
1589650739.2926016,168512
1589650745.540254,100952
1589650746.5292888,378608
1589650747.4063077,7164848
1589650748.5354924,2186728
1589650749.3840194,8245808
1589650750.39612,1304648
1589650751.3811016,122120
1589650752.6202166,310424
1589650753.4332073,341560
1589650754.3810806,123544
1589650755.2911875,177408
1589650756.4232647,265592
1589650757.59589,354736
1589650758.3268237,312464
1589650759.678561,29944
1589650760.396536,194096
1589650761.536418,137120
1589650764.4571896,780904
1589650765.862635,49128
1589650766.7543995,810512
1589650767.238262,443376
1589650769.2635348,91192
1589650770.624077,79248
1589650771.673765,116104
1589650772.506322,153968
1589650773.4441168,132432
1589650774.4677331,159272
1589650775.5602448,144368
1589650776.3367257,129624
1589650777.417787,1720920
1589650778.355434,196168
1589650779.5105958,108016
1589650780.5159693,115064
1589650781.5972846,160656
1589650782.3947732,358384
1589650783.3288949,108864
1589650784.5074284,352840
1589650785.1530983,1231864
1589650786.5370858,240112
1589650787.286638,1522232
1589650788.2703817,155208
1589650789.6125076,124096
1589650790.4434197,262072
1589650791.2659636,370816
1589650792.3334124,1106384
1589650793.7836792,1897224
1589650794.5714114,134192
1589650795.4218912,515760
1589650796.4422507,238512
1589650797.556997,1480992
1589650798.4091833,145384
1589650799.6140058,478768
1589650800.5875275,192360
1589650801.4433825,97224
1589650802.2735536,185208
1589650803.5548153,422112
1589650804.239381,437912
1589650808.4122815,194992
1589650809.7683878,617352
1589650810.5233705,1153880
1589650811.4839392,189344
1589650812.4216468,244536
1589650813.22517,757280
1589650814.5116732,473616
1589650815.302943,246592
1589650816.4626822,170080
1589650817.4825392,691800
1589650818.5897782,1192824
1589650822.9598093,2696
1589650823.5285592,697064
1589650824.3427258,256200
1589650825.4536328,130840
1589650826.4848778,205984
1589650827.5336964,1115888
1589650828.4005485,171320
1589650829.476413,1342296
1589650830.446763,383032
1589650831.6191983,355240
1589650832.2666864,94792
1589650833.3060915,403072
1589650834.182588,2256
1589650836.7641444,462080
1589650837.1783853,412016
1589650838.6169958,88544
1589650839.4436965,321048
1589650840.7965698,271704
1589650841.572008,592376
1589650842.3036964,1305640
1589650843.333171,711976
1589650844.372671,1932192
1589650845.3571455,587400
1589650846.4197276,936696
1589650847.5026696,957472
1589650848.6773584,624288
1589650849.4767256,404192
1589650850.614245,868384
1589650851.4145446,845784
1589650852.6910264,384544
1589650853.5319476,1674168
1589650854.4172962,201248
1589650855.6203177,406944
1589650856.5593052,855248
1589650857.593473,2710912
1589650858.4787436,252448
1589650859.4317887,611320
1589650860.539106,215968
1589650861.427044,92040
1589650862.5832925,118776
1589650863.3252783,713080
1589650864.6138864,244808
1589650865.57192,193840
1589650866.598341,455184
1589650867.0797455,133968
1589650869.758928,124448
1589650870.622223,301760
1589650871.5228975,211264
1589650872.419122,89760
1589650873.4677603,207792
1589650874.4625978,236976
1589650875.4114563,635800
1589650876.517364,414264
1589650877.5471747,580624
1589650878.5404875,229296
1589650879.547082,740984
1589650880.408172,133128
1589650881.5157115,290472
1589650882.16222,13424
1589650886.856453,36696
1589650887.6671922,477144
1589650888.6488783,817624
1589650889.4810855,354184
1589650890.5047832,250024
1589650891.5510328,313664
1589650892.4878323,334616
1589650893.5105968,400288
1589650894.603102,230528
1589650895.5838337,132984
1589650896.5484931,808432
1589650897.6086023,615352
1589650898.5654602,828880
1589650899.453133,125800
1589650900.4413457,273224
1589650901.5061896,124040
1589650902.640753,268800
1589650903.5199287,169768
1589650904.391178,134360
1589650905.4902368,177424
1589650906.723678,594656
1589650907.336145,419144
1589650908.660668,483656
1589650909.7017117,2437512
1589650910.2067518,1108280
1589650911.408893,819816
1589650912.467214,547456
1589650913.5030148,107304
1589650914.519792,107368
1589650915.5152533,285000
1589650916.4191785,294608
1589650917.2313704,658984
1589650918.473549,322624
1589650919.3570468,180920
1589650920.580862,182576
1589650921.379401,162496
1589650922.51587,202384
1589650923.4036767,377776
1589650924.5283067,102160
1589650925.5494456,42528
1589650926.5332432,258440
