timestamp,tbs_sum
1591990608.331388,427320
1591990609.3184595,476072
1591990610.3556669,402784
1591990611.3669012,701392
1591990612.374884,374400
1591990613.3405356,565456
1591990614.3393867,609312
1591990615.4052458,617552
1591990616.28119,600288
1591990617.3188963,353704
1591990618.3698406,507480
1591990619.3762565,310376
1591990620.3908017,313520
1591990621.334997,497320
1591990622.3789368,439216
1591990623.4018834,358416
1591990624.3513727,842536
1591990625.3321006,547568
1591990626.3821292,623768
1591990627.3191023,409336
1591990628.3725598,499984
1591990628.9884768,187224
1591990630.354147,22080
1591990631.50914,47568
1591990632.5544467,634760
1591990633.3497813,824880
1591990634.3002503,552136
1591990635.371075,400984
1591990636.3279307,467616
1591990637.337943,579712
1591990638.304608,661976
1591990639.3200192,551720
1591990640.357519,957016
1591990641.353276,411656
1591990642.3769636,741640
1591990643.306495,742744
1591990644.339483,1005576
1591990645.333056,1311576
1591990646.311696,781680
1591990647.3758104,639904
1591990648.3096054,831224
1591990649.3242943,863264
1591990650.3640797,744784
1591990651.4266863,531680
1591990652.3259013,529000
1591990653.3728182,482680
1591990654.3769317,603888
1591990655.271198,574768
1591990656.4158914,337312
1591990657.3403063,508280
1591990658.3996396,480960
1591990659.413279,459440
1591990660.3638668,652224
1591990661.3472562,616072
1591990662.3345602,618112
1591990663.3391378,641480
1591990664.3165245,666424
1591990665.38068,610160
1591990666.305611,608224
1591990667.2563207,597232
1591990668.3347538,503152
1591990669.368614,473744
1591990670.359405,547912
1591990671.36123,489784
1591990672.3593187,575344
1591990673.346785,511648
1591990674.3353016,723992
1591990675.384732,447952
1591990676.3805168,634528
1591990677.2873535,617720
1591990678.3785095,635600
1591990679.301978,681528
1591990680.330493,481776
1591990681.4567866,465136
1591990682.276,540744
1591990683.331771,453104
1591990684.3283184,547256
1591990685.4404902,680648
1591990686.2882736,813120
1591990687.3475456,1053368
1591990688.3730545,850984
1591990689.4582136,1161040
1591990690.3485942,990880
1591990691.3984916,1080336
1591990692.3657138,1387568
1591990693.2714531,1009840
1591990694.419496,1052152
1591990695.2515316,933984
1591990696.3402684,911680
1591990697.367679,929176
1591990698.3253143,861504
1591990699.3778825,685608
1591990700.3555913,616432
1591990701.260821,689648
1591990702.402497,699088
1591990703.3464975,662512
1591990704.3800611,840392
1591990705.3493152,648688
1591990706.376465,699000
1591990707.3286946,752656
1591990708.3436902,692184
1591990709.3774576,662168
1591990710.3027284,636896
1591990711.368997,558576
1591990712.3634944,585360
1591990713.3286517,634776
1591990714.436622,679888
1591990715.3087902,903456
1591990716.3794494,596448
1591990717.390565,604896
1591990718.3461907,842560
1591990719.327667,831960
1591990720.3251238,462536
1591990721.405981,511896
1591990722.3649197,524632
1591990723.3281176,450640
1591990724.3505538,625816
1591990725.3799698,808416
1591990726.316747,563528
1591990727.3620455,447832
1591990728.3544505,423112
1591990729.4032984,511848
1591990730.3576968,275208
1591990731.3150668,414744
1591990732.4070656,517752
1591990733.3229797,582688
1591990734.3296337,572888
1591990735.3478303,489608
1591990736.339182,314440
1591990737.301731,347512
1591990738.388242,459272
1591990739.3465676,675656
1591990740.286018,647648
1591990741.438142,801696
1591990742.2988253,1204200
1591990743.3518467,862952
1591990744.3439662,853152
1591990745.3866892,788736
1591990746.32478,561744
1591990747.3665056,416848
1591990748.349658,409296
1591990749.3538277,477200
1591990750.3468535,815712
1591990751.335228,652064
1591990752.3753233,529600
