timestamp,tbs_sum
1591990608.363021,6437448
1591990609.3491344,4424664
1591990610.3786647,4649016
1591990611.402962,6314480
1591990612.372768,6206664
1591990613.3907533,7660552
1591990614.403267,7231264
1591990615.3858387,6691024
1591990616.319437,7432040
1591990617.4033673,4829976
1591990618.34985,5282472
1591990619.4469335,3840056
1591990620.4016893,5695952
1591990621.4043188,7885520
1591990622.392901,5976944
1591990623.372253,5112416
1591990624.4154592,6883760
1591990625.3433983,6364000
1591990626.4006765,5958248
1591990627.3484542,6894816
1591990628.4024796,6369400
1591990629.0385773,1602464
1591990630.3535357,99264
1591990631.32284,71416
1591990632.590812,3296544
1591990633.3800902,8681656
1591990634.351097,6768392
1591990635.3930964,5372992
1591990636.399058,6923152
1591990637.379017,8356400
1591990638.3655455,4264408
1591990639.3880217,5436624
1591990640.354275,7082296
1591990641.3723445,6759152
1591990642.4238222,6362000
1591990643.3854876,6770328
1591990644.3997838,7078184
1591990645.38791,8483664
1591990646.3750384,6234856
1591990647.393397,6524008
1591990648.3312528,6525976
1591990649.3287814,5444784
1591990650.4078605,6086992
1591990651.3872046,5486616
1591990652.423167,5795040
1591990653.3796325,6651776
1591990654.34449,7719784
1591990655.352663,5584408
1591990656.395397,5937120
1591990657.3478456,6753392
1591990658.4106169,6395872
1591990659.4196675,6409192
1591990660.384411,6472056
1591990661.410224,7371240
1591990662.3456886,5869960
1591990663.438686,9049768
1591990664.3432076,8979128
1591990665.430444,5644160
1591990666.3568778,5998936
1591990667.3319654,6019368
1591990668.3509283,7718976
1591990669.4449604,6447336
1591990670.3455362,6007696
1591990671.3969471,6437800
1591990672.3761036,4129456
1591990673.3624809,5716480
1591990674.3525794,2569440
1591990675.352321,7879928
1591990676.4039035,3968144
1591990677.3911834,3915008
1591990678.4102626,4658424
1591990679.3862853,4812664
1591990680.3677535,5468304
1591990681.4161696,2930184
1591990682.4395738,8212784
1591990683.262357,7756552
1591990684.384841,12639640
1591990685.367054,8386360
1591990686.4588797,4088408
1591990687.363937,7408920
1591990688.4187157,8117488
1591990689.4147778,6646632
1591990690.4284153,8506832
1591990691.392863,12046848
1591990692.3892653,13251736
1591990693.3295066,10414544
1591990694.3948514,6961304
1591990695.404425,6229368
1591990696.4453778,8975552
1591990697.3740244,12513320
1591990698.3302517,10104520
1591990699.3519275,4722408
1591990700.3695145,6743832
1591990701.399516,3875488
1591990702.427326,4851024
1591990703.3011315,2993856
1591990704.415839,5310288
1591990705.372898,3932872
1591990706.3998752,4852120
1591990707.3585536,3989632
1591990708.3986988,2655320
1591990709.3678908,1591776
1591990710.3368154,993240
1591990711.404671,1089784
1591990712.3766632,2160088
1591990713.4081376,2052696
1591990714.3236003,1875600
1591990715.3063505,1987384
1591990716.36168,858960
1591990717.361401,1253552
1591990718.3779025,2185312
1591990719.404165,3349744
1591990720.304077,2353624
1591990721.3839102,1132728
1591990722.3741243,1719320
1591990723.374272,1468632
1591990724.47451,1017048
1591990725.3752103,1082080
1591990726.354607,941728
1591990727.402433,955768
1591990728.3411984,1106544
1591990729.408776,1046368
1591990730.371337,1227952
1591990731.3744953,1062392
1591990732.3974342,613616
1591990733.3627331,711696
1591990734.3515406,533176
1591990735.474775,730504
1591990736.3834963,1894248
1591990737.3183978,1467800
1591990738.380399,1826440
1591990739.379382,1879928
1591990740.30715,2214792
1591990741.445294,2106680
1591990742.3932672,2600560
1591990743.376987,2644808
1591990744.4097376,2974088
1591990745.3948734,2849224
1591990746.3996286,2435400
1591990747.3915782,2030136
1591990748.336615,2175216
1591990749.375236,1889512
1591990750.370499,2462152
1591990751.3829708,2671608
1591990752.4020047,3159648
1591990753.377875,3342648
1591990754.3770883,3314808
1591990755.3844266,2258656
1591990756.418025,2195032
1591990757.3390937,2311912
1591990758.3812816,2222424
1591990759.3863473,2226344
1591990760.387476,2676920
1591990761.3570616,2411592
1591990762.3823917,2599728
1591990763.383192,2609576
1591990764.4159904,2843520
1591990765.3952384,2725920
1591990766.3719096,3455832
1591990767.411998,3013512
1591990768.3814137,3201456
1591990769.3618712,3094192
1591990770.35615,2883080
1591990771.3825116,3938984
1591990772.3787606,3770568
1591990773.417663,3821616
1591990774.3730586,4116272
1591990775.3704405,2166792
1591990776.3794658,2904544
1591990777.3744974,5262632
1591990778.341568,6788264
1591990779.403201,7998040
1591990780.385632,4653952
1591990781.38057,3968400
1591990782.4041712,4148104
1591990783.337217,2369320
1591990784.340028,1445816
1591990785.3930814,2359464
1591990786.4235797,2004352
1591990787.4537785,2860608
1591990788.4093983,1048056
1591990789.3897378,736624
1591990790.351886,1345784
1591990791.38388,961656
1591990792.3766751,1016896
1591990793.4232528,4000056
1591990794.3937886,5262440
1591990795.4123833,6446616
1591990796.3769934,6216072
1591990797.3728971,6513952
1591990798.3859267,6771128
1591990799.3421483,4670320
1591990800.4197602,3709328
1591990801.4370227,2465016
1591990802.3651724,3483216
1591990803.4374113,2069448
1591990804.3885815,5545624
1591990805.3230088,7010312
1591990806.394825,5069776
1591990807.3670173,6752376
1591990808.375534,4017168
1591990809.3897288,2979456
1591990810.383118,3578776
1591990811.390582,3983888
1591990812.374039,7076808
1591990813.3936572,6493440
1591990814.3921905,6082208
1591990815.3642435,6840288
1591990816.4198534,2444168
1591990817.407123,1954696
1591990818.403503,3677160
1591990819.4264152,11096608
1591990820.3517232,6811960
1591990821.3823423,5919544
1591990822.3735435,6875112
1591990823.399602,7466256
1591990824.3689358,6233304
1591990825.3456886,5811352
1591990826.3929093,4436888
1591990827.404384,13305056
1591990828.3908424,4967416
1591990829.3560836,7241544
1591990830.3707292,5917464
1591990831.3733616,6404096
1591990832.409804,5901840
1591990833.3833263,7072256
1591990834.356036,6680968
1591990835.360941,5940320
1591990836.321046,5182024
1591990837.447075,2028240
1591990838.372829,3772032
1591990839.4191103,3504528
1591990840.384178,3301928
1591990841.3798757,5562560
1591990842.3811631,6625096
1591990843.39148,7067328
1591990844.3710184,8316080
1591990845.356092,4033904
1591990846.3786292,2419624
1591990847.3635714,2433016
1591990848.3911655,3055936
1591990849.3746655,3016584
1591990850.4032545,2584736
1591990851.415795,5811224
1591990852.3926027,6435216
1591990853.3638546,6803104
1591990854.3669958,7561552
1591990855.3894975,2521912
1591990856.3869877,2883776
1591990857.380442,2278848
1591990858.3997872,9955808
1591990859.358105,9049056
1591990860.3748364,7943960
1591990861.3341434,4585568
1591990862.3871963,2186032
1591990863.4139826,9958792
1591990864.387416,8678128
1591990865.3848915,9248600
1591990866.3740275,8507256
1591990867.3937669,6824008
1591990868.3371408,4839152
1591990869.4047267,5797568
1591990870.3743386,6901736
1591990871.3454516,5775224
1591990872.3880484,6308232
1591990873.3498058,4628952
1591990874.382356,5118584
1591990875.399814,5663280
1591990876.3738964,7185992
1591990877.3671362,6584048
1591990878.3811104,6645160
1591990879.3653393,4112776
1591990880.3619032,5913952
1591990881.387829,6928600
1591990882.300416,3488056
1591990883.4279332,1332096
1591990884.3937278,7233320
1591990885.366468,6223896
1591990886.354766,1701200
1591990887.38195,1136440
1591990888.4227352,2070496
1591990889.3845987,1744328
1591990890.385963,2369864
1591990891.3664362,2182152
1591990892.4153707,2274088
1591990893.3807616,3499744
1591990894.3830338,3269112
1591990895.3720157,3284704
1591990896.3636897,3875856
1591990897.3602183,2801192
1591990898.3972273,3217280
1591990899.4012978,2777792
1591990900.3841224,2881464
1591990901.4051442,4622472
1591990902.4070554,5399232
1591990903.420744,5601152
1591990904.3794217,6428040
1591990905.3814056,4774568
1591990906.391374,2923968
1591990907.4153178,7697984
1591990908.355005,9293040
1591990909.360037,2564824
1591990910.3933456,6155248
1591990911.353099,8626344
1591990912.3447423,1871024
1591990913.430224,3243168
1591990914.4345913,3089912
1591990915.2888703,2439784
1591990916.4207318,1905160
1591990917.4015648,3699144
1591990918.3368378,3109320
1591990919.3771963,2364888
1591990920.3786037,2391904
1591990921.3642068,2634960
1591990922.361066,1813368
1591990923.375465,2285352
1591990924.3764436,1734520
1591990925.384873,1711184
1591990926.3923442,1714856
1591990927.379083,2045160
1591990928.3896413,2030648
1591990929.3545911,1902200
1591990930.3985937,2198976
1591990931.3766325,1827280
1591990932.414194,2290728
1591990933.3841743,2399264
1591990934.3317237,2194176
1591990935.3957715,2235944
1591990936.354713,2424168
1591990937.3855815,2402216
1591990938.3764703,2856240
1591990939.3970387,3100152
1591990940.314576,2008088
1591990941.404493,1300160
1591990942.4262276,2283240
1591990943.386135,2797720
1591990944.3288102,2731096
1591990945.3922255,2838144
1591990946.3878057,2960296
1591990947.3710878,2597344
1591990948.416368,2821304
1591990949.3738074,4939800
1591990950.3744423,4840520
1591990951.4051826,4070976
